feature,weight
pstoto keren,0.5623914301671016
mark,0.5623532567404151
bahagia,0.5613081738934209
hebat,0.5609715682329051
join,0.5594037442568291
penuh,0.5577978231924681
waktunya,0.5552068057906852
brutal,0.5546981819259429
ahhh,0.5542352872687878
kerja keras,0.5525593788728693
green circle,0.5525215035361244
nasi,0.5523985023668603
heart mona,0.551623962337284
mona,0.551623962337284
withdraw,0.5503173697591208
transisi,0.5467186207540065
riang,0.5445909449666266
hubungan,0.5439167524217138
aj aku,0.5437754561403408
gift,0.5424980469852625
wrapped,0.5424980469852625
wrapped gift,0.5424980469852625
daftar sekarang,0.5415447806156505
orange,0.5409155470344759
orange heart,0.5409155470344759
junior,0.5408354938568953
depo,0.539799779309654
raised,0.5379887146020707
miya,0.5364545348873152
tongue,0.535851318242813
with tongue,0.535851318242813
brok,0.5352609999679758
selama,0.5327483353473697
kontennya,0.5315096520010953
menangnya,0.5309661635240779
eyes,0.5259018729390247
capek nontonnya,0.5257739425454021
gak capek,0.5257739425454021
no,0.5250050990832459
panggil,0.5247465484575082
with wings,0.5240326600862127
wings,0.5240326600862127
money with,0.5240326600862127
ceria,0.5236038150116439
kyt snowflake,0.5234337514893707
snowflake kyt,0.5234337514893707
sempurna,0.5233877331034653
otw,0.522701224924506
rezeki datang,0.5225003533474646
yin,0.5223421054801031
quot,0.5219836717021484
beaming face,0.5216796288275176
beaming,0.5216796288275176
sambal,0.5210217070010205
situs nagamastoto,0.5198114182225384
mudah,0.5194477564880489
gak,0.518377341903878
mood,0.5173962430240702
bosku,0.5173838489023235
makin,0.5162233331499048
bermain bersama,0.5156716372371454
tanboy,0.5144449260634691
joy sukses,0.514335587170583
emang the,0.5140146310324795
rame,0.5139505839873328
kuat kayak,0.5135554044707907
ges,0.5125961826024115
enak bermain,0.5123563341894979
mikir,0.5112958266567669
henti,0.5110660343184766
wifi,0.5086093598416449
pushpin bardi,0.5066463644042911
bardi pushpin,0.5066463644042911
caer,0.5041094241021763
caeer caer,0.5041094241021763
caeer,0.5041094241021763
dehh,0.5041094241021763
ga obat,0.5041094241021763
obat dehh,0.5041094241021763
pacar,0.5035927136054429
apaan sih,0.503031619778544
meriah,0.5025040573142546
merapat,0.5024995876785502
banyak orang,0.501998912089621
springs,0.4999377132658655
crossbones hamburger,0.4999377132658655
hot springs,0.4999377132658655
skull and,0.4999377132658655
crossbones,0.4999377132658655
and crossbones,0.4999377132658655
hamburger roma,0.4999377132658655
roma hot,0.4999377132658655
roma,0.4999377132658655
hamburger,0.4999377132658655
hiburan,0.499623943487407
update,0.49849218403744755
menghibur,0.49588727857589204
blom,0.49367753219122823
kesukaan,0.49362600346821883
yng,0.4930571904296889
check,0.4924258535735078
check mark,0.4924258535735078
afdol,0.4913939190766144
hasil kerja,0.4913939190766144
kesuksesan hasil,0.4913939190766144
pulau fire,0.4887775331934021
bareng,0.4879593208551666
